Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
44808.67293,13,John O'Laughlin,473,Terry Kang,417
44808.67363,14,Alec Sjöholm,471,Conrad Bassett-Bouchard,383
44808.67606,14,Peter Armstrong,661,Betty Cornelison,404
44808.67795,14,Lola McKissen,463,David Whitley,455
44808.67862,14,Jennifer Clinchy,472,John O'Laughlin,408
44808.68071,14,Dave Wiegand,457,Rob Robinsky,414
44808.68074,14,Evans Clinchy,473,Ruth Hamilton,331
44808.68656,14,Jesse Matthews,453,Mark Francillon,425
44808.70295,15,Dave Wiegand,506,Conrad Bassett-Bouchard,405
44808.70896,15,Alec Sjöholm,453,Betty Cornelison,349
44808.7128,15,Peter Armstrong,578,Ruth Hamilton,315
44808.71384,15,Rob Robinsky,498,Lola McKissen,392
44808.71688,15,David Whitley,445,Terry Kang,374
44808.72116,15,Kolton Koehler,416,Jennifer Clinchy,409
44808.7222,15,Mark Francillon,538,Evans Clinchy,352
44808.7265,15,John O'Laughlin,514,Jesse Matthews,316
44808.75118,16,Alec Sjöholm,522,Conrad Bassett-Bouchard,431
44808.75435,16,Evans Clinchy,525,John O'Laughlin,380
44808.75661,16,Mark Francillon,507,Betty Cornelison,311
44808.75906,16,Ruth Hamilton,384,Lola McKissen,361
44808.76123,16,Terry Kang,484,Rob Robinsky,399
44808.7659,16,Peter Armstrong,494,David Whitley,423
44808.7664,16,Dave Wiegand,462,Jesse Matthews,448
44808.77019,16,Kolton Koehler,474,Jennifer Clinchy,380
44809.42752,17,Kolton Koehler,630,Terry Kang,295
44809.4353,17,John O'Laughlin,419,Peter Armstrong,327
44809.43582,17,Dave Wiegand,433,Alec Sjöholm,416
44809.4361,17,Conrad Bassett-Bouchard,458,Jesse Matthews,447
44809.43645,17,David Whitley,414,Evans Clinchy,336
44809.43752,17,Lola McKissen,434,Betty Cornelison,358
44809.43839,17,Ruth Hamilton,458,Mark Francillon,324
44809.44124,17,Rob Robinsky,443,Jennifer Clinchy,354
44809.46218,18,Dave Wiegand,523,Conrad Bassett-Bouchard,335
44809.47086,18,Alec Sjöholm,521,Jesse Matthews,441
44809.47238,18,Jennifer Clinchy,485,Terry Kang,417
44809.47317,18,Betty Cornelison,495,Ruth Hamilton,336
44809.47624,18,Mark Francillon,395,Lola McKissen,315
44809.47659,18,David Whitley,497,John O'Laughlin,456
44809.47953,18,Evans Clinchy,421,Peter Armstrong,386
44809.47954,18,Rob Robinsky,459,Kolton Koehler,424
44809.52127,19,Rob Robinsky,446,Terry Kang,407
44809.52155,19,Alec Sjöholm,482,Conrad Bassett-Bouchard,443
44809.5235,19,Dave Wiegand,519,Peter Armstrong,483
44809.52384,19,Ruth Hamilton,408,Jennifer Clinchy,377
44809.52513,19,Lola McKissen,415,Betty Cornelison,317
44809.5263,19,John O'Laughlin,489,David Whitley,349
44809.52822,19,Mark Francillon,442,Jesse Matthews,411
44809.52855,19,Kolton Koehler,528,Evans Clinchy,461
44809.55569,20,Alec Sjöholm,540,Dave Wiegand,366
44809.5567,20,Conrad Bassett-Bouchard,442,David Whitley,389
44809.56644,20,Rob Robinsky,483,Evans Clinchy,433
44809.56883,20,Jesse Matthews,444,Ruth Hamilton,333
44809.56918,20,Peter Armstrong,450,Betty Cornelison,384
44809.57385,20,Mark Francillon,514,Terry Kang,507
44809.57429,20,Kolton Koehler,528,John O'Laughlin,332
44809.57431,20,Jennifer Clinchy,421,Lola McKissen,336
