Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
02/16/25 10:17 AM,9,David Whitley,565,Randi Goldberg,388
02/16/25 10:18 AM,9,Joe Roberdeau,446,Conrad Bassett-Bouchard,388
02/16/25 10:22 AM,9,Terry Kang,507,Puneet Sharma,460
02/16/25 10:25 AM,9,Peter Armstrong,532,Lola McKissen,243
02/16/25 10:27 AM,9,Mark Francillon,440,Eric Fox,396
02/16/25 11:01 AM,10,Dave Wiegand,599,Puneet Sharma,321
02/16/25 11:04 AM,10,Kolton Koehler,556,Joe Roberdeau,375
02/16/25 11:05 AM,10,Christopher Grubb,529,Betty Cornelison,357
02/16/25 11:06 AM,10,Travis Chaney,404,Terry Kang,308
02/16/25 11:07 AM,10,Alec Sjöholm,476,Walker Willingham,379
02/16/25 11:20 AM,10,Lola McKissen,457,Chris Lipe,406
02/16/25 11:20 AM,10,Randi Goldberg,418,Conrad Bassett-Bouchard,357
02/16/25 11:22 AM,10,David Whitley,419,Eric Fox,362
02/16/25 11:23 AM,10,Nitya Chagti,407,Peter Armstrong,379
02/16/25 11:25 AM,10,Bharath Balakrishnan,445,Mark Francillon,403
02/16/25 11:55 AM,11,Puneet Sharma,533,Travis Chaney,408
02/16/25 12:01 PM,11,Eric Fox,471,Conrad Bassett-Bouchard,391
02/16/25 12:05 PM,11,Joe Roberdeau,382,Christopher Grubb,328
02/16/25 12:06 PM,11,Alec Sjöholm,508,Lola McKissen,381
02/16/25 12:09 PM,11,Kolton Koehler,473,Randi Goldberg,325
02/16/25 12:11 PM,11,Dave Wiegand,505,Mark Francillon,473
02/16/25 12:11 PM,11,Betty Cornelison,510,Walker Willingham,380
02/16/25 12:16 PM,11,David Whitley,440,Bharath Balakrishnan,337
02/16/25 12:23 PM,11,Nitya Chagti,424,Chris Lipe,370
02/16/25 12:53 PM,12,Conrad Bassett-Bouchard,626,Bharath Balakrishnan,384
02/16/25 12:56 PM,12,Lola McKissen,455,Betty Cornelison,319
02/16/25 12:56 PM,12,Travis Chaney,529,Dave Wiegand,328
02/16/25 01:02 PM,12,Christopher Grubb,565,Randi Goldberg,228
02/16/25 01:03 PM,12,David Whitley,457,Mark Francillon,368
02/16/25 01:04 PM,12,Kolton Koehler,519,Eric Fox,319
02/16/25 01:09 PM,12,Joe Roberdeau,423,Walker Willingham,379
02/16/25 01:10 PM,12,Chris Lipe,451,Terry Kang,440
