Name,Rating
Dave Wiegand,2002
Alec Sjöholm,1979
Kolton Koehler,1926
Conrad Bassett-Bouchard,1908
Gunther Jacobi,1729
Winter,1713
Travis Chaney,1673
Puneet Sharma,1635
Ruth Hamilton,1401
Eric Fox,1354
Paula Catanese,1279
Joe Roberdeau,1272
Jeannie Wilson,1199
Betty Cornelison,1163
Cheryl Melvin,1142
Andrea Hatch,1102
Caroline Polak Scowcroft,1081
Ather Sharif,0
