Name,Rating
Dave Wiegand,2132
Conrad Bassett-Bouchard,1998
Kolton Koehler,1893
Gunther Jacobi,1674
Travis Chaney,1572
Ruth Hamilton,1426
Betty Cornelison,1230
Bye,0
