Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/10/2023 18:30:55,8,Dave Wiegand,505,Brad Whitmarsh,424
11/10/2023 18:33:58,8,Rasheed Balogun,446,Peter Armstrong,398
11/11/2023 9:41:20,9,Travis Chaney,445,Randi Goldberg,399
11/11/2023 9:42:41,9,Dave Wiegand,505,Austin Shin,425
11/11/2023 9:47:08,9,Kevin Fraley,519,Sandy Nang,322
11/11/2023 9:49:48,9,Alec Sjöholm,490,Scott Jackson,363
11/11/2023 9:50:05,9,Quinn James,495,Rasheed Balogun,360
11/11/2023 9:51:26,9,Joel Wapnick,402,Peter Armstrong,383
11/11/2023 9:55:16,9,Rob Robinsky,593,David Whitley,357
11/11/2023 9:55:25,9,Kolton Koehler,513,Brad Whitmarsh,364
11/11/2023 9:55:56,9,John O'Laughlin,480,Becky Dyer,359
11/11/2023 9:56:07,9,Chris Lipe,464,Christopher Grubb,439
11/11/2023 10:01:59,9,Puneet Sharma,409,Mohammad Sulaiman,366
11/11/2023 10:37:48,10,Rasheed Balogun,458,Scott Jackson,397
11/11/2023 10:41:41,10,Brad Whitmarsh,397,Austin Shin,314
11/11/2023 10:46:45,10,Kevin Fraley,486,Travis Chaney,471
11/11/2023 10:47:06,10,David Whitley,473,Becky Dyer,453
11/11/2023 10:47:28,10,John O'Laughlin,465,Sandy Nang,302
11/11/2023 10:51:24,10,Quinn James,448,Dave Wiegand,384
11/11/2023 10:52:00,10,Alec Sjöholm,470,Puneet Sharma,391
11/11/2023 10:54:42,10,Kolton Koehler,534,Peter Armstrong,459
11/11/2023 10:57:26,10,Rob Robinsky,506,Chris Lipe,356
11/11/2023 10:57:28,10,Christopher Grubb,425,Joel Wapnick,405
11/11/2023 11:01:47,10,Randi Goldberg,434,Mohammad Sulaiman,371
11/11/2023 11:41:15,11,Puneet Sharma,405,Travis Chaney,367
11/11/2023 11:45:36,11,David Whitley,387,Sandy Nang,384
11/11/2023 11:45:44,11,Christopher Grubb,536,Alec Sjöholm,430
11/11/2023 11:48:28,11,Rob Robinsky,493,Rasheed Balogun,477
11/11/2023 11:48:45,11,Dave Wiegand,439,Kolton Koehler,432
11/11/2023 11:50:51,11,Quinn James,507,Austin Shin,432
11/11/2023 11:54:15,11,Kevin Fraley,434,Mohammad Sulaiman,389
11/11/2023 11:56:44,11,Joel Wapnick,436,Brad Whitmarsh,432
11/11/2023 11:57:43,11,Scott Jackson,453,Becky Dyer,443
11/11/2023 12:03:34,11,Peter Armstrong,415,Chris Lipe,371
11/11/2023 12:05:45,11,John O'Laughlin,415,Randi Goldberg,374
11/11/2023 12:28:47,12,Alec Sjöholm,593,Rasheed Balogun,225
