Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/13/2023 9:52:11,Semifinal,Kevin Fraley,460,Austin Shin,453
11/13/2023 10:00:50,Semifinal,Kevin Fraley,458,Austin Shin,373
11/13/2023 11:00:50,Semifinal,Kolton Koehler,450,Dave Wiegand,416
11/13/2023 12:00:50,Semifinal,Dave Wiegand,549,Kolton Koehler,477
11/13/2023 13:00:50,Semifinal,Dave Wiegand,536,Kolton Koehler,331
11/13/2023 14:00:50,Final,Kevin Fraley,453,Dave Wiegand,389
11/13/2023 14:50:26,Third Place Match,Kolton Koehler,449,Austin Shin,401
11/13/2023 14:43:02,Third Place Match,Austin Shin,504,Kolton Koehler,386
11/13/2023 15:22:40,Third Place Match,Kolton Koehler,547,Austin Shin,446
