"Name","Rating"
"Dave Wiegand",1999
"Alec Sjöholm",1976
"Christopher Grubb",1939
"John O'Laughlin",1935
"Travis Chaney",1627
"Carson Ip",1590
"Bharath Balakrishnan",1525
"Jennifer Clinchy",1469
"Ruth Hamilton",1446
"Jane Geary",1440
"Eric Fox",1423
"Betty Cornelison",1131
