Name,Rating
Christopher Grubb,1957
Alec Sjöholm,1930
Josh Sokol,1866
Evans Clinchy,1801
Dean Saldanha,1704
George MacAulay,1536
Eric Fox,1316
Noella Ward,1170
Rachel Grubb,1168
Tara Hurley,1139
Cheryl Melvin,1110
Maureen Morris,1089
Chris Cheng,0
Cam Lawrence,0
Henry Gould,0
Olanma Cheche,0
